,Id,MSSubClass,LotFrontage,LotArea,Alley,LotShape,LandSlope,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SalePrice
10,11,20,70.0,11200,,Reg,Gtl,Sawyer,1Story,5,5,1965,1965,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,134.0,Ex,Y,1040,0,0,1040,1.0,0.0,1,0,3,1,TA,Typ,0,,Detchd,1965.0,Unf,384.0,TA,TA,0,0,0,0,0,0,,,,0,2,2008,129500.0
11,12,60,85.0,11924,,IR1,Gtl,NridgHt,2Story,9,5,2005,2006,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998.0,Unf,0.0,177.0,Ex,Y,1182,1142,0,2324,1.0,0.0,3,0,4,1,Ex,Typ,2,Gd,BuiltIn,2005.0,Fin,736.0,TA,TA,147,21,0,0,0,0,,,,0,7,2006,345000.0
12,13,20,,12968,,IR2,Gtl,Sawyer,1Story,5,6,1962,1962,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737.0,Unf,0.0,175.0,TA,Y,912,0,0,912,1.0,0.0,1,0,2,1,TA,Typ,0,,Detchd,1962.0,Unf,352.0,TA,TA,140,0,0,0,176,0,,,,0,9,2008,144000.0
13,14,20,91.0,10652,,IR1,Gtl,CollgCr,1Story,7,5,2006,2007,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1494.0,Ex,Y,1494,0,0,1494,0.0,0.0,2,0,3,1,Gd,Typ,1,Gd,Attchd,2006.0,RFn,840.0,TA,TA,160,33,0,0,0,0,,,,0,8,2007,279500.0
14,15,20,,10920,,IR1,Gtl,NAmes,1Story,6,5,1960,1960,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0.0,520.0,TA,Y,1253,0,0,1253,1.0,0.0,1,1,2,1,TA,Typ,1,Fa,Attchd,1960.0,RFn,352.0,TA,TA,0,213,176,0,0,0,,GdWo,,0,5,2008,157000.0
15,16,45,51.0,6120,,Reg,Gtl,BrkSide,1.5Unf,7,8,1929,2001,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,832.0,Ex,Y,854,0,0,854,0.0,0.0,1,0,2,1,TA,Typ,0,,Detchd,1991.0,Unf,576.0,TA,TA,48,112,0,0,0,0,,GdPrv,,0,7,2007,132000.0
16,17,20,,11241,,IR1,Gtl,NAmes,1Story,6,7,1970,1970,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426.0,Ex,Y,1004,0,0,1004,1.0,0.0,1,0,2,1,TA,Typ,1,TA,Attchd,1970.0,Fin,480.0,TA,TA,0,0,0,0,0,0,,,Shed,700,3,2010,149000.0
17,18,90,72.0,10791,,Reg,Gtl,Sawyer,1Story,4,5,1967,1967,MetalSd,MetalSd,None,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,TA,Y,1296,0,0,1296,0.0,0.0,2,0,2,2,TA,Typ,0,,CarPort,1967.0,Unf,516.0,TA,TA,0,0,0,0,0,0,,,Shed,500,10,2006,90000.0
18,19,20,66.0,13695,,Reg,Gtl,SawyerW,1Story,5,5,2004,2004,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646.0,Unf,0.0,468.0,Ex,Y,1114,0,0,1114,1.0,0.0,1,1,3,1,Gd,Typ,0,,Detchd,2004.0,Unf,576.0,TA,TA,0,102,0,0,0,0,,,,0,6,2008,159000.0
19,20,20,70.0,7560,,Reg,Gtl,NAmes,1Story,5,6,1958,1965,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504.0,Unf,0.0,525.0,TA,Y,1339,0,0,1339,0.0,0.0,1,0,3,1,TA,Min1,0,,Attchd,1958.0,Unf,294.0,TA,TA,0,0,0,0,0,0,,MnPrv,,0,5,2009,139000.0
20,21,60,101.0,14215,,IR1,Gtl,NridgHt,2Story,8,5,2005,2006,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1158.0,Ex,Y,1158,1218,0,2376,0.0,0.0,3,1,4,1,Gd,Typ,1,Gd,BuiltIn,2005.0,RFn,853.0,TA,TA,240,154,0,0,0,0,,,,0,11,2006,325300.0
21,22,45,57.0,7449,Grvl,Reg,Gtl,IDOTRR,1.5Unf,7,7,1930,1950,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,637.0,Ex,Y,1108,0,0,1108,0.0,0.0,1,0,3,1,Gd,Typ,1,Gd,Attchd,1930.0,Unf,280.0,TA,TA,0,0,205,0,0,0,,GdPrv,,0,6,2007,139400.0
22,23,20,75.0,9742,,Reg,Gtl,CollgCr,1Story,8,5,2002,2002,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1777.0,Ex,Y,1795,0,0,1795,0.0,0.0,2,0,3,1,Gd,Typ,1,Gd,Attchd,2002.0,RFn,534.0,TA,TA,171,159,0,0,0,0,,,,0,9,2008,230000.0
23,24,120,44.0,4224,,Reg,Gtl,MeadowV,1Story,5,7,1976,1976,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840.0,Unf,0.0,200.0,TA,Y,1060,0,0,1060,1.0,0.0,1,0,3,1,TA,Typ,1,TA,Attchd,1976.0,Unf,572.0,TA,TA,100,110,0,0,0,0,,,,0,6,2007,129900.0
24,25,20,,8246,,IR1,Gtl,Sawyer,1Story,5,8,1968,2001,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188.0,ALQ,668.0,204.0,Ex,Y,1060,0,0,1060,1.0,0.0,1,0,3,1,Gd,Typ,1,TA,Attchd,1968.0,Unf,270.0,TA,TA,406,90,0,0,0,0,,MnPrv,,0,5,2010,154000.0
25,26,20,110.0,14230,,Reg,Gtl,NridgHt,1Story,8,5,2007,2007,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1566.0,Ex,Y,1600,0,0,1600,0.0,0.0,2,0,3,1,Gd,Typ,1,Gd,Attchd,2007.0,RFn,890.0,TA,TA,0,56,0,0,0,0,,,,0,7,2009,256300.0
26,27,20,60.0,7200,,Reg,Gtl,NAmes,1Story,5,7,1951,2000,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234.0,Rec,486.0,180.0,TA,Y,900,0,0,900,0.0,1.0,1,0,3,1,Gd,Typ,0,,Detchd,2005.0,Unf,576.0,TA,TA,222,32,0,0,0,0,,,,0,5,2010,134800.0
27,28,20,98.0,11478,,Reg,Gtl,NridgHt,1Story,8,5,2007,2008,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0.0,486.0,Ex,Y,1704,0,0,1704,1.0,0.0,2,0,3,1,Gd,Typ,1,Gd,Attchd,2008.0,RFn,772.0,TA,TA,0,50,0,0,0,0,,,,0,5,2010,306000.0
28,29,20,47.0,16321,,IR1,Gtl,NAmes,1Story,5,6,1957,1997,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277.0,Unf,0.0,207.0,TA,Y,1600,0,0,1600,1.0,0.0,1,0,2,1,TA,Typ,2,Gd,Attchd,1957.0,RFn,319.0,TA,TA,288,258,0,0,0,0,,,,0,12,2006,207500.0
29,30,30,60.0,6324,,IR1,Gtl,BrkSide,1Story,4,6,1927,1950,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,520.0,Fa,N,520,0,0,520,0.0,0.0,1,0,1,1,Fa,Typ,0,,Detchd,1920.0,Unf,240.0,Fa,TA,49,0,87,0,0,0,,,,0,5,2008,68500.0
30,31,70,50.0,8500,Pave,Reg,Gtl,IDOTRR,2Story,4,4,1920,1950,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,649.0,TA,N,649,668,0,1317,0.0,0.0,1,0,3,1,TA,Typ,0,,Detchd,1920.0,Unf,250.0,TA,Fa,0,54,172,0,0,0,,MnPrv,,0,7,2008,40000.0
31,32,20,,8544,,IR1,Gtl,Sawyer,1Story,5,6,1966,2006,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1228.0,Gd,Y,1228,0,0,1228,0.0,0.0,1,1,3,1,Gd,Typ,0,,Attchd,1966.0,Unf,271.0,TA,TA,0,65,0,0,0,0,,MnPrv,,0,6,2008,149350.0
32,33,20,85.0,11049,,Reg,Gtl,CollgCr,1Story,8,5,2007,2007,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1234.0,Ex,Y,1234,0,0,1234,0.0,0.0,2,0,3,1,Gd,Typ,0,,Attchd,2007.0,RFn,484.0,TA,TA,0,30,0,0,0,0,,,,0,1,2008,179900.0
33,34,20,70.0,10552,,IR1,Gtl,NAmes,1Story,5,5,1959,1959,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018.0,Unf,0.0,380.0,Gd,Y,1700,0,0,1700,0.0,1.0,1,1,4,1,Gd,Typ,1,Gd,Attchd,1959.0,RFn,447.0,TA,TA,0,38,0,0,0,0,,,,0,4,2010,165500.0
34,35,120,60.0,7313,,Reg,Gtl,NridgHt,1Story,9,5,2005,2005,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153.0,Unf,0.0,408.0,Ex,Y,1561,0,0,1561,1.0,0.0,2,0,2,1,Ex,Typ,1,Gd,Attchd,2005.0,Fin,556.0,TA,TA,203,47,0,0,0,0,,,,0,8,2007,277500.0
35,36,60,108.0,13418,,Reg,Gtl,NridgHt,2Story,8,5,2004,2005,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1117.0,Ex,Y,1132,1320,0,2452,0.0,0.0,3,1,4,1,Gd,Typ,1,Gd,BuiltIn,2004.0,Fin,691.0,TA,TA,113,32,0,0,0,0,,,,0,9,2006,309000.0
36,37,20,112.0,10859,,Reg,Gtl,CollgCr,1Story,5,5,1994,1995,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1097.0,Ex,Y,1097,0,0,1097,0.0,0.0,1,1,3,1,TA,Typ,0,,Attchd,1995.0,Unf,672.0,TA,TA,392,64,0,0,0,0,,,,0,6,2009,145000.0
37,38,20,74.0,8532,,Reg,Gtl,NAmes,1Story,5,6,1954,1990,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213.0,Unf,0.0,84.0,Gd,Y,1297,0,0,1297,0.0,1.0,1,0,3,1,TA,Typ,1,TA,Attchd,1954.0,Fin,498.0,TA,TA,0,0,0,0,0,0,,,,0,10,2009,153000.0
38,39,20,68.0,7922,,Reg,Gtl,NAmes,1Story,5,7,1953,2007,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,TA,Y,1057,0,0,1057,1.0,0.0,1,0,3,1,Gd,Typ,0,,Detchd,1953.0,Unf,246.0,TA,TA,0,52,0,0,0,0,,,,0,1,2010,109000.0
39,40,90,65.0,6040,,Reg,Gtl,Edwards,1Story,4,5,1955,1955,AsbShng,Plywood,None,0.0,TA,TA,PConc,,,,,0.0,,0.0,0.0,TA,N,1152,0,0,1152,0.0,0.0,2,0,2,2,Fa,Typ,0,,,,,0.0,,,0,0,0,0,0,0,,,,0,6,2008,82000.0
40,41,20,84.0,8658,,Reg,Gtl,NAmes,1Story,6,5,1965,1965,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643.0,Unf,0.0,445.0,Ex,Y,1324,0,0,1324,0.0,0.0,2,0,3,1,TA,Typ,1,TA,Attchd,1965.0,RFn,440.0,TA,TA,0,138,0,0,0,0,,GdWo,,0,12,2006,160000.0
41,42,20,115.0,16905,,Reg,Gtl,Timber,1Story,5,6,1959,1959,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967.0,Unf,0.0,383.0,Gd,Y,1328,0,0,1328,0.0,1.0,1,1,2,1,TA,Typ,2,Gd,Attchd,1959.0,RFn,308.0,TA,TA,0,104,0,0,0,0,,,,0,7,2007,170000.0
42,43,85,,9180,,IR1,Gtl,SawyerW,SFoyer,5,7,1983,1983,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747.0,LwQ,93.0,0.0,Gd,Y,884,0,0,884,1.0,0.0,1,0,2,1,Gd,Typ,0,,Attchd,1983.0,RFn,504.0,TA,Gd,240,0,0,0,0,0,,MnPrv,,0,12,2007,144000.0
43,44,20,,9200,,IR1,Gtl,CollgCr,1Story,5,6,1975,1980,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280.0,BLQ,491.0,167.0,TA,Y,938,0,0,938,1.0,0.0,1,0,3,1,TA,Typ,0,,Detchd,1977.0,Unf,308.0,TA,TA,145,0,0,0,0,0,,MnPrv,,0,7,2008,130250.0
44,45,20,70.0,7945,,Reg,Gtl,NAmes,1Story,5,6,1959,1959,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179.0,BLQ,506.0,465.0,Ex,Y,1150,0,0,1150,1.0,0.0,1,0,3,1,TA,Typ,0,,Attchd,1959.0,RFn,300.0,TA,TA,0,0,0,0,0,0,,,,0,5,2006,141000.0
45,46,120,61.0,7658,,Reg,Gtl,NridgHt,1Story,9,5,2005,2005,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456.0,Unf,0.0,1296.0,Ex,Y,1752,0,0,1752,1.0,0.0,2,0,2,1,Ex,Typ,1,Gd,Attchd,2005.0,RFn,576.0,TA,TA,196,82,0,0,0,0,,,,0,2,2010,319900.0
46,47,50,48.0,12822,,IR1,Gtl,Mitchel,1.5Fin,7,5,2003,2003,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351.0,Unf,0.0,83.0,Ex,Y,1518,631,0,2149,1.0,0.0,1,1,1,1,Gd,Typ,1,Ex,Attchd,2003.0,RFn,670.0,TA,TA,168,43,0,0,198,0,,,,0,8,2009,239686.0
47,48,20,84.0,11096,,Reg,Gtl,Somerst,1Story,8,5,2006,2006,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1632.0,Ex,Y,1656,0,0,1656,0.0,0.0,2,0,3,1,Gd,Typ,0,,Attchd,2006.0,RFn,826.0,TA,TA,0,146,0,0,0,0,,,,0,7,2007,249700.0
48,49,190,33.0,4456,,Reg,Gtl,OldTown,2Story,4,5,1920,2008,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,736.0,Gd,Y,736,716,0,1452,0.0,0.0,2,0,2,3,TA,Typ,0,,,,,0.0,,,0,0,102,0,0,0,,,,0,6,2009,113000.0
49,50,20,66.0,7742,,Reg,Gtl,Sawyer,1Story,5,7,1966,1966,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763.0,Unf,0.0,192.0,Ex,Y,955,0,0,955,1.0,0.0,1,0,3,1,TA,Typ,0,,Attchd,1966.0,Unf,386.0,TA,TA,0,0,0,0,0,0,,MnPrv,,0,1,2007,127000.0
50,51,60,,13869,,IR2,Gtl,Gilbert,2Story,6,6,1997,1997,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182.0,Unf,0.0,612.0,Gd,Y,794,676,0,1470,0.0,1.0,2,0,3,1,TA,Typ,0,,Attchd,1997.0,Fin,388.0,TA,TA,0,75,0,0,0,0,,,,0,7,2007,177000.0
51,52,50,52.0,6240,,Reg,Gtl,BrkSide,1.5Fin,6,6,1934,1950,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,816.0,TA,Y,816,0,360,1176,0.0,0.0,1,0,3,1,TA,Typ,1,Gd,Detchd,1985.0,Unf,528.0,TA,TA,112,0,0,0,0,0,,MnPrv,Shed,400,9,2006,114500.0
52,53,90,110.0,8472,,IR2,Mod,IDOTRR,1Story,5,5,1963,1963,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104.0,GLQ,712.0,0.0,TA,N,816,0,0,816,1.0,0.0,1,0,2,1,TA,Typ,0,,CarPort,1963.0,Unf,516.0,TA,TA,106,0,0,0,0,0,,,,0,5,2010,110000.0
53,54,20,68.0,50271,,IR1,Gtl,Veenker,1Story,9,5,1981,1987,WdShing,Wd Shng,None,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810.0,Unf,0.0,32.0,Gd,Y,1842,0,0,1842,2.0,0.0,0,1,0,1,Gd,Typ,1,Gd,Attchd,1981.0,Fin,894.0,TA,TA,857,72,0,0,0,0,,,,0,11,2006,385000.0
54,55,80,60.0,7134,,Reg,Mod,NAmes,SLvl,5,5,1955,1955,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,384.0,Unf,0.0,0.0,TA,Y,1360,0,0,1360,0.0,0.0,1,0,3,1,TA,Min1,1,TA,Detchd,1962.0,Unf,572.0,TA,TA,0,50,0,0,0,0,,MnPrv,,0,2,2007,130000.0
55,56,20,100.0,10175,,IR1,Gtl,NAmes,1Story,6,5,1964,1964,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,490.0,Unf,0.0,935.0,Gd,Y,1425,0,0,1425,0.0,0.0,2,0,3,1,TA,Typ,1,Gd,Attchd,1964.0,RFn,576.0,TA,TA,0,0,0,407,0,0,,,,0,7,2008,180500.0
56,57,160,24.0,2645,Pave,Reg,Gtl,Somerst,2Story,8,5,1999,2000,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,649.0,Unf,0.0,321.0,Ex,Y,983,756,0,1739,1.0,0.0,2,1,3,1,Gd,Typ,0,,Attchd,1999.0,Fin,480.0,TA,TA,115,0,0,0,0,0,,,,0,8,2009,172500.0
57,58,60,89.0,11645,,IR1,Gtl,CollgCr,2Story,7,5,2004,2004,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,860.0,Ex,Y,860,860,0,1720,0.0,0.0,2,1,3,1,Gd,Typ,0,,Attchd,2004.0,RFn,565.0,TA,TA,0,70,0,0,0,0,,,,0,8,2006,196500.0
58,59,60,66.0,13682,,IR2,Gtl,StoneBr,2Story,10,5,2006,2006,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0.0,Unf,0.0,1410.0,Ex,Y,1426,1519,0,2945,0.0,0.0,3,1,3,1,Gd,Typ,1,Gd,BuiltIn,2006.0,Fin,641.0,TA,TA,192,0,37,0,0,0,,,,0,10,2006,438780.0
59,60,20,60.0,7200,,Reg,Gtl,CollgCr,1Story,5,7,1972,1972,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,632.0,Unf,0.0,148.0,Ex,Y,780,0,0,780,0.0,0.0,1,0,2,1,TA,Typ,0,,Detchd,1973.0,Unf,352.0,TA,TA,196,0,0,0,0,0,,MnPrv,,0,1,2008,124900.0
60,61,20,63.0,13072,,Reg,Gtl,SawyerW,1Story,6,5,2004,2004,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,941.0,Unf,0.0,217.0,Ex,Y,1158,0,0,1158,1.0,0.0,1,1,3,1,Gd,Typ,0,,Detchd,2006.0,Unf,576.0,TA,TA,0,50,0,0,0,0,,,,0,5,2006,158000.0
61,62,75,60.0,7200,,Reg,Gtl,IDOTRR,2.5Unf,5,7,1920,1996,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,0.0,Unf,0.0,530.0,TA,N,581,530,0,1111,0.0,0.0,1,0,3,1,Fa,Typ,0,,Detchd,1935.0,Unf,288.0,TA,TA,0,0,144,0,0,0,,,,0,3,2007,101000.0
62,63,120,44.0,6442,,IR1,Gtl,NridgHt,1Story,8,5,2006,2006,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,Gd,Mn,GLQ,24.0,Unf,0.0,1346.0,Ex,Y,1370,0,0,1370,0.0,0.0,2,0,2,1,Gd,Typ,1,Gd,Attchd,2006.0,RFn,484.0,TA,TA,120,49,0,0,0,0,,,,0,10,2007,202500.0
63,64,70,50.0,10300,,IR1,Gtl,OldTown,2Story,7,6,1921,1950,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,576.0,Gd,Y,902,808,0,1710,0.0,0.0,2,0,3,1,TA,Typ,0,,Detchd,1990.0,Unf,480.0,TA,TA,12,11,64,0,0,0,,GdPrv,,0,4,2010,140000.0
64,65,60,,9375,,Reg,Gtl,CollgCr,2Story,7,5,1997,1998,VinylSd,VinylSd,BrkFace,573.0,TA,TA,PConc,Gd,TA,No,GLQ,739.0,Unf,0.0,318.0,Ex,Y,1057,977,0,2034,1.0,0.0,2,1,3,1,Gd,Typ,0,,Attchd,1998.0,RFn,645.0,TA,TA,576,36,0,0,0,0,,GdPrv,,0,2,2009,219500.0
