Id,MSSubClass,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenAbvGr,KitchenQual,GarageFinish,GarageCars,GarageArea,EnclosedPorch,YrSold,SalePrice
80,50,OldTown,5,6,1910,1981,TA,TA,440,682,1230,1,1,TA,Unf,2,440,128,2009,110000
81,60,NAmes,6,6,1968,1968,TA,Gd,896,1182,2142,2,1,Gd,Fin,1,509,0,2009,193500
82,120,Mitchel,6,5,1998,1998,TA,Ex,1237,1337,1337,2,1,TA,Fin,2,405,0,2006,153500
83,20,Somerst,8,5,2007,2007,TA,Gd,1563,1563,1563,2,1,Gd,RFn,3,758,0,2008,245000
84,20,NAmes,5,5,1960,1960,TA,TA,1065,1065,1065,1,1,TA,Unf,2,461,0,2007,126500
85,80,Gilbert,7,5,1995,1996,TA,Gd,384,804,1474,2,1,TA,Fin,2,400,0,2009,168500
86,60,NoRidge,8,5,1991,1992,Gd,Gd,1288,1301,2417,2,1,Gd,Unf,2,462,0,2006,260000
87,60,Gilbert,6,5,2005,2005,Gd,Gd,684,684,1560,2,1,Gd,Fin,2,400,0,2009,174000
88,160,Somerst,6,5,2009,2009,Gd,Gd,612,612,1224,2,1,Gd,RFn,2,528,0,2009,164500
89,50,IDOTRR,3,2,1915,1982,Fa,TA,1013,1013,1526,1,1,Fa,NA,0,0,156,2009,85000
90,20,CollgCr,4,5,1994,1995,TA,Gd,990,990,990,1,1,TA,NA,0,0,0,2007,123600
91,20,NAmes,4,5,1950,1950,TA,NA,0,1040,1040,1,1,TA,Unf,2,420,0,2006,109900
92,20,NAmes,5,3,1961,1961,TA,TA,1235,1235,1235,1,1,TA,Unf,2,480,0,2006,98600
93,30,Crawfor,5,7,1921,2006,TA,Gd,876,964,964,1,1,TA,Unf,2,432,44,2009,163500
94,190,OldTown,6,6,1910,1998,TA,TA,1214,1260,2291,2,2,TA,Unf,2,506,0,2007,133900
95,60,CollgCr,6,5,1997,1997,TA,Gd,824,905,1786,2,1,Gd,RFn,2,684,0,2007,204750
96,60,Gilbert,6,8,1993,1993,Ex,Gd,680,680,1470,2,1,TA,Fin,2,420,0,2009,185000
97,20,CollgCr,7,5,1999,1999,Gd,Gd,1588,1588,1588,2,1,Gd,RFn,2,472,0,2006,214000
98,20,Edwards,4,5,1965,1965,TA,TA,960,960,960,1,1,TA,Fin,1,432,0,2007,94750
99,30,Edwards,5,5,1920,1950,TA,TA,458,835,835,1,1,TA,Unf,1,366,77,2010,83000
100,20,NAmes,4,5,1959,1959,TA,TA,950,1225,1225,1,1,TA,NA,0,0,0,2010,128950
101,20,NWAmes,6,7,1977,2001,TA,TA,1610,1610,1610,2,1,Gd,RFn,2,480,0,2010,205000
102,60,SawyerW,6,5,1985,1985,Gd,Gd,741,977,1732,2,1,Gd,Fin,2,476,0,2010,178000
103,90,SawyerW,5,5,1979,1979,TA,NA,0,1535,1535,2,2,TA,Unf,2,410,0,2009,118964
104,20,CollgCr,7,5,2009,2009,TA,Gd,1226,1226,1226,2,1,Gd,RFn,3,740,0,2010,198900
105,50,IDOTRR,7,4,1931,1950,TA,TA,1040,1226,1818,1,1,TA,Unf,1,240,0,2007,169500
106,60,Somerst,8,5,2003,2004,Gd,Ex,1053,1053,1992,2,1,Gd,RFn,2,648,0,2008,250000
107,30,OldTown,4,7,1885,1995,TA,Fa,641,1047,1047,1,1,TA,Unf,1,273,0,2007,100000
108,20,OldTown,5,5,1948,1950,TA,TA,789,789,789,1,1,TA,Unf,1,250,0,2008,115000
109,50,IDOTRR,5,7,1919,2005,TA,TA,793,997,1517,2,1,Fa,NA,0,0,144,2007,115000
110,20,NWAmes,6,6,1977,1977,TA,Gd,1844,1844,1844,2,1,TA,RFn,2,546,0,2010,190000
111,50,Edwards,6,4,1954,1972,TA,TA,994,1216,1855,2,1,TA,Unf,1,325,0,2006,136900
112,80,Gilbert,7,5,2000,2000,TA,Gd,384,774,1430,2,1,TA,Fin,2,400,0,2010,180000
113,60,CollgCr,7,5,2007,2007,Gd,Ex,1264,1282,2696,2,1,Ex,Fin,3,792,0,2007,383970
114,20,Crawfor,6,5,1953,1953,TA,Gd,1809,2259,2259,2,1,Gd,Unf,2,450,192,2007,217000
115,70,Crawfor,6,8,1945,2002,TA,TA,1028,1436,2320,2,1,Gd,Unf,1,180,0,2007,259500
116,160,Somerst,6,5,1999,1999,TA,Gd,729,729,1458,2,1,TA,Unf,2,440,0,2007,176000
117,20,Sawyer,5,5,1962,1962,TA,TA,1092,1092,1092,1,1,TA,Unf,1,288,144,2009,139000
118,20,Edwards,5,5,2006,2007,TA,Gd,1125,1125,1125,1,1,TA,Unf,2,430,0,2007,155000
119,60,SawyerW,7,5,1990,1990,TA,Gd,1673,1699,3222,3,1,Gd,Unf,3,594,0,2010,320000
120,60,CollgCr,6,5,2005,2006,Gd,Gd,728,728,1456,2,1,Gd,Fin,2,390,0,2006,163990
121,80,ClearCr,6,5,1969,1969,TA,TA,938,988,988,1,1,TA,Unf,2,540,0,2006,180000
122,50,IDOTRR,4,5,1939,1950,TA,TA,732,772,1123,1,1,TA,Unf,1,264,140,2007,100000
123,20,NAmes,6,7,1958,1958,TA,TA,1080,1080,1080,1,1,TA,Unf,1,288,0,2008,136000
124,120,SawyerW,6,5,1993,1993,Gd,Gd,1199,1199,1199,2,1,Gd,RFn,2,530,0,2008,153900
125,20,NWAmes,6,5,1979,1998,TA,Gd,1362,1586,1586,2,1,TA,Unf,2,435,0,2009,181000
126,190,IDOTRR,6,8,1935,1982,TA,TA,520,520,754,1,1,TA,NA,0,0,0,2006,84500
127,120,NPkVill,6,5,1976,1976,TA,Gd,1078,958,958,2,1,TA,RFn,2,440,0,2007,128000
128,45,OldTown,5,7,1930,1950,TA,TA,672,840,840,1,1,TA,NA,0,0,0,2007,87000
129,60,NAmes,6,5,1966,1966,TA,TA,660,660,1348,1,1,TA,RFn,2,453,0,2006,155000
130,20,NAmes,5,7,1958,1991,TA,TA,1008,1053,1053,1,1,Ex,RFn,2,750,0,2006,150000
131,60,NAmes,7,6,1966,1966,TA,TA,924,1216,2157,2,1,Gd,Fin,2,487,0,2006,226000
132,60,Gilbert,6,5,2000,2000,Gd,Gd,992,1022,2054,2,1,Gd,RFn,2,390,0,2009,244000
133,20,NAmes,5,6,1959,2002,TA,TA,1063,1327,1327,1,1,Gd,Unf,2,624,0,2007,150750
134,20,Timber,8,5,2001,2002,Gd,Ex,1267,1296,1296,2,1,Gd,Fin,2,471,0,2009,220000
135,20,Sawyer,5,6,1968,1993,TA,TA,1461,1721,1721,2,1,TA,RFn,2,440,180,2006,180000
136,20,NWAmes,7,6,1970,1970,TA,TA,1304,1682,1682,2,1,TA,Unf,2,530,0,2008,174000
137,20,NAmes,5,5,1967,1967,TA,TA,1214,1214,1214,2,1,TA,RFn,1,318,0,2007,143000
138,90,Mitchel,7,5,1988,1989,TA,TA,1907,1959,1959,3,2,TA,Unf,3,766,0,2006,171000
139,60,CollgCr,8,5,1999,2000,Gd,Gd,1004,1004,1852,2,1,Gd,Fin,3,660,0,2008,230000
140,60,CollgCr,6,5,1997,1997,TA,Gd,928,928,1764,2,1,Gd,RFn,2,470,0,2009,231500
141,20,NAmes,4,5,1971,1971,TA,TA,864,864,864,1,1,TA,NA,0,0,0,2010,115000
142,20,CollgCr,7,5,2005,2005,Gd,Gd,1734,1734,1734,2,1,Gd,Fin,2,660,0,2006,260000
143,50,NAmes,5,4,1952,1952,TA,TA,910,910,1385,2,1,TA,Unf,2,720,0,2010,166000
144,20,CollgCr,7,5,1999,1999,Gd,Gd,1490,1501,1501,2,1,Gd,RFn,2,577,0,2009,204000
145,90,Sawyer,5,5,1963,1963,TA,TA,1728,1728,1728,2,2,TA,Unf,2,504,0,2006,125000
146,160,Edwards,6,5,2004,2006,Gd,Gd,970,970,1709,2,1,Gd,Unf,2,380,0,2006,130000
147,30,BrkSide,5,7,1931,1993,TA,TA,715,875,875,1,1,TA,Unf,1,180,0,2009,105000
148,60,Gilbert,7,5,2001,2001,Gd,Gd,884,884,2035,2,1,Gd,Fin,2,434,0,2010,222500
149,20,SawyerW,7,5,2004,2005,TA,Gd,1080,1080,1080,1,1,Gd,NA,0,0,0,2008,141000
150,50,BrkSide,5,4,1936,1950,TA,Gd,896,896,1344,1,1,TA,Unf,1,240,0,2006,115000
151,20,CollgCr,5,6,1975,1975,TA,TA,969,969,969,1,1,TA,Unf,2,440,0,2007,122000
152,20,NridgHt,8,5,2007,2008,Gd,Ex,1710,1710,1710,2,1,Gd,RFn,3,866,0,2008,372402
153,60,NWAmes,6,5,1971,1971,TA,TA,825,1097,1993,2,1,TA,RFn,2,495,0,2006,190000
154,20,ClearCr,6,7,1960,1975,TA,Gd,1602,1252,1252,1,1,TA,RFn,2,564,0,2008,235000
155,30,OldTown,6,5,1923,1950,TA,TA,1200,1200,1200,1,1,TA,Unf,1,312,228,2006,125000
156,50,Edwards,6,5,1924,1950,TA,TA,572,572,1096,1,1,TA,NA,0,0,128,2008,79000
157,20,NAmes,5,7,1950,1950,TA,NA,0,1040,1040,1,1,TA,Unf,2,625,0,2006,109500
158,60,Timber,8,5,2009,2010,Gd,Ex,774,774,1968,2,1,Ex,Fin,3,680,0,2010,269500
159,60,Somerst,7,5,2004,2005,Gd,Gd,991,991,1947,2,1,Gd,RFn,2,678,0,2010,254900
160,60,Gilbert,7,5,2005,2006,Gd,Gd,1392,1392,2462,2,1,Gd,RFn,2,576,0,2006,320000
161,20,Veenker,6,6,1984,1984,TA,Gd,1232,1232,1232,2,1,TA,Unf,2,516,0,2008,162500
162,60,NridgHt,9,5,2003,2004,Gd,Ex,1572,1572,2668,2,1,Ex,Fin,3,726,0,2008,412500
163,20,NridgHt,7,5,2005,2005,Gd,Gd,1541,1541,1541,2,1,Gd,RFn,2,532,0,2010,220000
164,45,OldTown,4,6,1956,1956,TA,TA,882,882,882,1,1,TA,NA,0,0,0,2007,103200
165,40,OldTown,6,7,1926,2004,TA,TA,1149,1149,1616,2,1,Gd,Unf,1,216,183,2007,152000
166,190,Edwards,5,7,1940,1999,TA,TA,644,808,1355,2,2,TA,NA,0,0,0,2008,127500
167,20,ClearCr,5,5,1955,1993,Gd,TA,1617,1867,1867,1,1,TA,Fin,1,303,0,2009,190000
168,60,NridgHt,8,5,2007,2007,Gd,Ex,1582,1610,2161,1,1,Ex,Fin,3,789,0,2007,325624
169,60,Gilbert,7,5,2004,2004,Gd,Gd,840,840,1720,2,1,Gd,Fin,2,440,0,2007,183500
170,20,Timber,8,6,1981,1981,Gd,Gd,1686,1707,1707,2,1,TA,RFn,2,511,0,2006,228000
171,50,OldTown,5,6,1941,1950,TA,TA,720,854,1382,1,1,TA,Unf,2,660,0,2007,128500
172,20,NAmes,6,5,1960,1960,TA,TA,1080,1656,1656,1,1,TA,Fin,2,528,0,2010,215000
173,160,StoneBr,7,7,1987,1987,Gd,Gd,1064,1064,1767,2,1,Gd,RFn,2,504,0,2006,239000
174,20,NAmes,6,5,1961,1961,TA,TA,1362,1362,1362,1,1,TA,Unf,2,504,0,2008,163000
175,20,Timber,6,5,1986,1986,TA,Gd,1606,1651,1651,2,1,TA,Fin,2,616,0,2008,184000
176,20,Edwards,6,7,1950,2001,TA,TA,1202,2158,2158,2,1,Gd,Unf,2,576,39,2007,243000
177,60,ClearCr,6,5,1988,1989,Gd,Gd,1151,1164,2060,2,1,TA,Unf,2,521,0,2007,211000
178,50,Sawyer,5,5,1958,1958,Gd,TA,1052,1252,1920,2,1,Gd,Unf,2,451,0,2006,172500
179,20,StoneBr,9,5,2008,2009,Ex,Ex,2216,2234,2234,2,1,Ex,Fin,3,1166,0,2009,501837
180,30,OldTown,5,6,1923,2006,Gd,TA,968,968,968,1,1,TA,Unf,2,480,184,2007,100000
181,160,Somerst,6,5,2000,2000,Gd,Gd,756,769,1525,2,1,Gd,Unf,2,440,0,2007,177000
182,70,Crawfor,7,6,1920,1950,TA,Fa,793,901,1802,1,1,TA,Unf,1,216,40,2006,200100
183,20,Edwards,5,6,1957,2006,TA,NA,0,1340,1340,1,1,TA,RFn,1,252,0,2007,120000
184,50,OldTown,7,5,2003,2003,TA,Gd,1362,1362,2082,2,1,Gd,Unf,2,484,0,2008,200000
185,50,BrkSide,5,8,1908,1991,TA,Fa,504,936,1252,1,1,TA,Unf,2,576,0,2006,127000
186,75,OldTown,10,9,1892,1993,Gd,TA,1107,1518,3608,2,1,Ex,Unf,3,840,0,2006,475000
187,80,Mitchel,7,5,1990,1991,TA,Gd,1188,1217,1217,2,1,Gd,Unf,2,497,0,2009,173000
188,50,OldTown,5,7,1916,1987,TA,Fa,660,808,1656,2,1,TA,Unf,1,180,0,2009,135000
189,90,SawyerW,5,5,1979,1979,TA,Gd,1086,1224,1224,0,2,TA,Unf,2,528,0,2009,153337
190,120,StoneBr,8,5,2001,2002,Gd,Ex,1593,1593,1593,1,1,Ex,Fin,2,682,0,2008,286000
191,70,Crawfor,8,8,1932,1994,Gd,Gd,853,1549,2727,2,1,Gd,Unf,2,440,0,2007,315000
192,60,NAmes,7,9,1972,2004,TA,TA,725,725,1479,1,1,Gd,Fin,2,484,0,2007,184000
193,20,CollgCr,7,5,1999,1999,Gd,Gd,1431,1431,1431,2,1,Gd,Fin,2,666,0,2009,192000
194,160,Edwards,7,5,2004,2004,Gd,Gd,970,970,1709,2,1,Gd,Unf,2,380,0,2006,130000
195,20,CollgCr,5,7,1972,1972,TA,TA,864,864,864,1,1,TA,Unf,1,352,0,2008,127000
196,160,NPkVill,6,6,1976,1976,TA,Gd,855,855,1456,2,1,TA,Unf,2,440,0,2009,148500
197,20,Somerst,7,5,2007,2007,Ex,Ex,1726,1726,1726,2,1,Ex,Fin,3,786,0,2007,311872
198,75,NAmes,8,4,1918,1990,Gd,TA,1360,1360,3112,2,1,Gd,Unf,2,795,552,2006,235000
199,75,OldTown,6,6,1912,1950,TA,TA,755,929,2229,1,1,TA,NA,0,0,30,2009,104000
200,20,NridgHt,8,5,2004,2005,Gd,Ex,1713,1713,1713,2,1,Ex,Fin,3,856,0,2009,274900
201,20,Edwards,4,5,2003,2004,TA,Gd,1121,1121,1121,2,1,TA,RFn,2,440,0,2010,140000
202,20,Mitchel,6,6,1977,1977,TA,TA,1196,1279,1279,2,1,TA,Unf,2,473,0,2008,171500
203,50,OldTown,6,6,1924,1950,TA,Fa,617,865,1310,2,1,TA,Unf,1,398,126,2006,112000
204,120,CollgCr,6,5,2004,2004,Gd,Gd,848,848,848,1,1,Gd,RFn,2,420,0,2008,149000
205,50,OldTown,5,7,1947,1950,TA,TA,720,720,1284,1,1,TA,Unf,1,240,0,2009,110000
206,20,Gilbert,7,5,1990,1990,TA,Gd,1424,1442,1442,2,1,TA,RFn,2,500,0,2009,180500
207,20,Sawyer,5,5,1962,1962,TA,TA,1140,1696,1696,1,1,TA,RFn,1,349,0,2007,143900
208,20,NAmes,4,5,1960,1960,TA,TA,1100,1100,1100,1,1,TA,RFn,1,312,0,2008,141000
209,60,SawyerW,7,5,1988,1989,Gd,Gd,1157,1180,2062,2,1,TA,Fin,2,454,0,2007,277000
210,20,NAmes,6,7,1964,1964,TA,Gd,1092,1092,1092,1,1,TA,RFn,2,504,0,2008,145000
211,30,Edwards,5,6,1925,1950,TA,TA,864,864,864,1,1,TA,NA,0,0,96,2008,98000
212,20,Edwards,6,5,2009,2009,TA,Gd,1212,1212,1212,2,1,Gd,RFn,2,460,0,2010,186000
213,60,Somerst,7,5,2009,2009,TA,Gd,900,932,1852,2,1,Gd,RFn,2,644,0,2009,252678
214,20,CollgCr,5,5,1995,1995,TA,Gd,990,990,990,1,1,TA,Unf,2,576,0,2006,156000
215,60,CollgCr,6,7,1977,1977,TA,Gd,689,689,1392,1,1,TA,Fin,1,299,0,2010,161750
216,20,NAmes,5,6,1957,1996,TA,TA,1070,1236,1236,1,1,Gd,Unf,1,447,0,2006,134450
217,20,CollgCr,7,5,2004,2004,Gd,Gd,1436,1436,1436,2,1,Gd,Unf,2,484,0,2008,210000
218,70,OldTown,4,4,1925,1950,TA,TA,686,810,1328,1,1,TA,Unf,1,210,60,2006,107000
219,50,Crawfor,7,9,1939,2006,Gd,TA,798,1137,1954,1,1,Gd,Unf,2,431,150,2008,311500
220,120,Blmngtn,7,5,2005,2006,Gd,Gd,1248,1248,1248,2,1,Gd,Fin,2,438,0,2006,167240
221,20,CollgCr,7,5,2006,2006,Gd,Gd,1498,1498,1498,2,1,Gd,RFn,2,675,0,2006,204900
222,60,Gilbert,6,5,2002,2002,Gd,Gd,1010,1010,2267,2,1,Gd,RFn,2,390,0,2009,200000
223,60,NWAmes,6,6,1975,1975,TA,Gd,713,811,1552,2,1,TA,RFn,2,434,0,2006,179900
224,20,NAmes,4,6,1971,1971,TA,TA,864,864,864,1,1,TA,Unf,2,576,0,2009,97000
225,20,NridgHt,10,5,2003,2003,Ex,Ex,2392,2392,2392,2,1,Ex,Fin,3,968,0,2009,386250
226,160,BrDale,5,5,1971,1971,TA,TA,630,630,1302,2,1,TA,Unf,1,280,0,2009,112000
227,60,NoRidge,7,5,1995,1995,Gd,Gd,1203,1214,2520,2,1,Gd,RFn,3,721,0,2007,290000
228,160,BrDale,6,6,1970,1970,TA,TA,483,483,987,1,1,TA,Unf,1,280,0,2008,106000
229,20,Sawyer,5,5,1967,1967,TA,TA,912,912,912,1,1,TA,Unf,1,336,0,2010,125000
230,120,Blmngtn,7,5,2005,2006,Gd,Gd,1373,1555,1555,2,1,Gd,Fin,2,430,0,2009,192500
231,20,NAmes,6,6,1959,1959,TA,TA,1194,1194,1194,1,1,TA,RFn,1,312,120,2010,148000
232,60,NoRidge,8,5,1995,1996,Gd,Gd,1462,1490,2794,2,1,Ex,Fin,3,810,202,2009,403000
233,160,BrDale,6,5,1972,1972,TA,TA,483,483,987,1,1,TA,Unf,1,288,0,2006,94500
234,20,CollgCr,5,6,1976,1976,TA,TA,894,894,894,1,1,TA,Unf,1,308,0,2010,128200
235,60,Gilbert,6,5,2002,2002,Gd,Gd,860,860,1960,2,1,Gd,Fin,2,440,0,2010,216500
236,160,BrDale,6,3,1971,1971,TA,TA,483,483,987,1,1,TA,Unf,1,264,0,2008,89500
